date,email,variant,subject
2026-06-28,tudentista@clinicadentados.es,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@dentalblanch.es,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,contacto@clinicadentalzoe.es,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@clinicalorenzo.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,contacto@dentalpeguero.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@clinicastorresygonzalez.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,info@clisaldent.es,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@clinicadentaldadent.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,clinica@clinicarodolfopita.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@clinicadentalarias.es,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,clinicarivaslombardero@gmail.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,ftapia@clinicasrobur.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,monicamasot@clinicadentalmasot.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@centroodontologicomutxamel.es,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,info@clinicarecaver.es,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,atencionclientes@acdental.es,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,hola@dentesia.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,arauzo@clinicaarauzo.es,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,clinica.valladolid@oralis.es,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,clinic@galvan.es,A,"¿Qué es lo que más tiempo os quita en la clínica?"
