date,email,variant,subject
2026-06-28,hi@templa.es,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@drarosamontero.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,info@doctorabonina.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,doctor@clinicaplanas.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,info@santsinstitut.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@clinicadabos.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,hola@clinicaescoda.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@clinicamandri.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,info@clinicadoctoramilotich.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@clinicaelysian.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
