date,email,variant,subject
2026-06-28,info@madridfisioterapia.madrid,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,madridfisiotecar@gmail.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@fisiofisic.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,info@teamfisioterapia.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,consulta@clinicaalbareda.cat,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,info@clinicaintegrativabcn.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,hola@myfisiobarcelona.es,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,info@clinica-id.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@eleofisioterapia.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,citas@lepolzaragoza.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@t-curafisioterapia.es,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,info@fisioterapialopezcrespo.es,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@corporezaragoza.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,clinicafisitania@gmail.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
2026-06-28,info@clinicafisioterapiacentro.com,A,"¿Qué es lo que más tiempo os quita en la clínica?"
2026-06-28,info@bspfisio.com,B,"Una forma de que la clínica os deje más tiempo (y dinero)"
