company,email,verified,contact_name,custom_line
Climaventia,info@climaventia.es,yes,,"Vi que cubrís climatización, ventilación y aerotermia en Bilbao y toda Vizcaya."
Clima Norte,info@climanorte.com,yes,,"Lleváis más de 50 años trabajando en Bizkaia y la zona norte."
Aidesegi,info@aidesegi.com,yes,,"Sé que trabajáis con ingeniería propia para instalaciones a medida."
MasterClim,info@masterclim.es,yes,,"Lleváis más de 10 años con climatización y fontanería en Bilbao."
Klima Fadura,info@klimafadura.com,yes,,"Sois una referencia del aire acondicionado en Getxo y la comarca."
Girolan,info@girolan.net,yes,,"Lleváis más de 35 años en climatización en Gipuzkoa."
Klimagas,info@klimagas.es,yes,,"Trabajáis climatización en Donostia, Irún y todo Gipuzkoa."
Climatec Bidasoa,info@climatecbidasoa.com,yes,,"Cubrís la zona del Bidasoa, Irún y Donostia."
Izurzu Clima,info@izurzuclima.com,yes,,"Dais servicio de climatización en toda Navarra."
Complet Clima,info@completclima.com,yes,,"Trabajáis para hogar y negocio en Pamplona y Navarra."
