company,email,verified,contact_name,custom_line
Clínica Dr. Colina,info@clinicadrcolina.com,yes,,
Doctora Nuria Aira,info@dranuriaaira.es,yes,,
Multiestética Bilbao,info@multiesteticabilbao.com,yes,,
Templa,hi@templa.es,yes,,
Dra Rosa Montero,info@drarosamontero.com,yes,,
Doctora Bonina,info@doctorabonina.com,yes,,
Clínica Planas,doctor@clinicaplanas.com,yes,,
Sants Institut,info@santsinstitut.com,yes,,
Clínica Dabos,info@clinicadabos.com,yes,,
Clínica Escoda,hola@clinicaescoda.com,yes,,
Clínica Mandri,info@clinicamandri.com,yes,,
Clínica Dra. Milotich,info@clinicadoctoramilotich.com,yes,,
Clínica Elysian,info@clinicaelysian.com,yes,,
Clínica Eranza,esteticaeranza@gmail.com,yes,,
Central Clinic Sevilla,info@centralclinic.es,yes,,
Clínica Dermonova,info@dermonova.com,yes,,
Clínica Tecnomédica,info@tecnomedicamalaga.es,yes,,
Clínica Cosmédica Málaga,infomalaga@cirugiacosmedica.com,yes,,
MAVE Medicina Estética,medicomave@gmail.com,yes,,
Yara Belleza,yarabellezazgz@gmail.com,yes,,
