company,email,verified,contact_name,custom_line
Itxasari Fisioterapia,itxasari_fisioterapia@hotmail.com,yes,,
Mazarredo Fisioterapia,info@mazarredofisioterapia.com,yes,,
Fisiobilbao,info@fisiobilbao.es,yes,,
Clínica Igón,info@clinicaigon.com,yes,,
Fisioterapia Madrid,info@madridfisioterapia.madrid,yes,,
Madrid FisioTecar,madridfisiotecar@gmail.com,yes,,
FisioFisic,info@fisiofisic.com,yes,,
Team Fisioterapia Barcelona,info@teamfisioterapia.com,yes,,
Clínica Albareda,consulta@clinicaalbareda.cat,yes,,
Clínica Integrativa Barcelona,info@clinicaintegrativabcn.com,yes,,
Myfisio Barcelona,hola@myfisiobarcelona.es,yes,,
Clínica I+D Valencia,info@clinica-id.com,yes,,
ELEO Fisioterapia,info@eleofisioterapia.com,yes,,
Fisioterapia Lepol,citas@lepolzaragoza.com,yes,,
Clínica T-CURA,info@t-curafisioterapia.es,yes,,
Fisioterapia López Crespo,info@fisioterapialopezcrespo.es,yes,,
Corpore Zaragoza,info@corporezaragoza.com,yes,,
Fisitania Fisioterapia,clinicafisitania@gmail.com,yes,,
Clínica Centro Málaga,info@clinicafisioterapiacentro.com,yes,,
BSP Fisio,info@bspfisio.com,yes,,
